facilityName,Division,LOCATION,County,Constituency,facilityType,Agency,Lat,Lng
TULWET DISP,KESSES,TULWET,UASIN GISHU,AINABKOI,4,MOH,0.27412,35.3241
UHURU DISP,AINABKOI,KAPTAGAT,UASIN GISHU,AINABKOI,4,MOH,0.495567,35.4284
ZIWA DISP,SOY,ZIWA,UASIN GISHU,AINABKOI,4,MOH,0.865212,35.2372
ARPOLO DISP,CHESEGON,LOMUT,WEST POKOT,KAPENGURIA,4,MOH,1.37708,35.6136
CHEPKOPEGH DISP,CHEPARERIA,CHEPKOPEGH,WEST POKOT,KAPENGURIA,4,MOH,1.44881,35.2211
KANYARKWAT DISP,KONGELAI,KANYARKWAT,WEST POKOT,KAPENGURIA,4,MOH,1.31746,34.9172
KAPTABUK DISP WEST POKOT,LELAN,CHEBON,WEST POKOT,KAPENGURIA,4,MOH,1.25318,35.3656
KASEI DISP,KASEI,KASEI,WEST POKOT,KAPENGURIA,4,MOH,2.03849,35.1959
KAURIONG DISP,ALALE,KASES,WEST POKOT,KAPENGURIA,4,MOH,2.2014,35.0925
KERINGETI DISP,KAPENGURIA,KERINGET,WEST POKOT,KAPENGURIA,4,MOH,1.26321,35.0141
KODICH DISP,KACHELIBA,KODICH,WEST POKOT,KAPENGURIA,4,MOH,1.69102,35.0561
KONYAO DISP,KACHELIBA,KAPCHOK,WEST POKOT,KAPENGURIA,4,MOH,1.80374,35.0486
LOMUT DISP,CHESEGON,LOMUT,WEST POKOT,KAPENGURIA,4,MOH,1.408,35.561
NAUYAPONG DISP,ALALE,LOKITANYALA,WEST POKOT,KAPENGURIA,4,MOH,2.44558,34.9433
PTOYO DISP,CHEPARERIA,PTOYO,WEST POKOT,KAPENGURIA,4,MOH,1.70778,35.2314
SEREWO DISP,KONGELAI,SEREWO,WEST POKOT,KAPENGURIA,4,MOH,1.37801,35.0253
SINA DISP,CHEPARERIA,PARUA,WEST POKOT,KAPENGURIA,4,MOH,1.31932,35.3572
TAMKAL DISP,SIGOR,MWINO,WEST POKOT,KAPENGURIA,4,MOH,1.4013,35.4812
TAMUOGH DISP,CHEPARERIA,TAMUGH,WEST POKOT,KAPENGURIA,4,MOH,1.58202,35.2659
TURKWEL GORGE DISP,KASEI,KORPU,WEST POKOT,KAPENGURIA,4,MOH,1.93602,35.3321
BULONDO DISP,BUMULA,S.BUKUSU,BUNGOMA,KANDUYI,4,MOH,0.497461,34.4841
BUNGOMA GK PRISON DISP,KANDUYI,TOWNSHIP,BUNGOMA,KANDUYI,4,MOH,0.560941,34.5626
CHEBUKUTUMI DISP,SIRISIA,SIRISIA,BUNGOMA,KANDUYI,4,MOH,0.70983,34.4991
KABULA DISP,BUMULA,KABULA,BUNGOMA,KANDUYI,4,MOH,0.474377,34.5257
KARIMA DISP,TONGAREN,MBAKALO,BUNGOMA,KANDUYI,4,MOH,0.736377,34.8396
KAVUJAI DISP,CENTRAL,KABUCHAI,BUNGOMA,KANDUYI,4,MOH,0.643617,34.5576
KIMAETI DISP,BUMULA,KIMAETI,BUNGOMA,KANDUYI,4,MOH,0.603723,34.4069
KONGOLI DISP,WEBUYE,SITIKHO,BUNGOMA,KANDUYI,4,MOH,0.557478,34.6896
KOROSIANDET DISP,MALAKISI,NAMUBILA,BUNGOMA,KANDUYI,4,MOH,0.744456,34.4391
LUKUSI DISP,NDIVISI,LUKUSI,BUNGOMA,KANDUYI,4,MOH,0.655584,34.8223
MAKHONGE DISP,KIMILILI,KAMUKUYWA,BUNGOMA,KANDUYI,4,MOH,0.832174,34.7865
MALOMONY DISP,NDIVISI,LUKUSI,BUNGOMA,KANDUYI,4,MOH,0.69598,34.8223
MILO DISP,WEBUYE,WEBUYE,BUNGOMA,KANDUYI,4,MOH,0.605954,34.7046
SHIKENDU DISP,KIMILILI,MAENI,BUNGOMA,KANDUYI,4,MOH,0.765231,34.7681
SITUKHO DISP,WEBUYE,SITIKHO,BUNGOMA,KANDUYI,4,MOH,0.474377,34.663
TAMLEGA DISP,MALAKISI,MALAKISI,BUNGOMA,KANDUYI,4,MOH,0.713581,34.417107
TONGARENI DISP,TONGAREN,TONGAREN,BUNGOMA,KANDUYI,4,MOH,0.788315,34.9608
AGENGA DISP,FUNYULA,AGENGA,BUSIA,TESO NORTH,4,MOH,0.252663,34.070668
BUDALANGI DISP,BUDALANGI,BUNYALA EAST,BUSIA,TESO NORTH,4,MOH,0.130355,34.027765
BUDUTA DISP,FUNYULA,AGENGA,BUSIA,TESO NORTH,4,MOH,0.22236,34.109533
BUSEMBE DISP,FUNYULA,BWIRI,BUSIA,TESO NORTH,4,MOH,0.184948,34.016435
BUSIBWABU DISPENSARY,MATAYOS,BUSIBWABO,BUSIA,TESO NORTH,4,MOH,0.41086,34.201223
BWALIRO DISPENSARY,BUTULA,ELUGULU,BUSIA,TESO NORTH,4,MOH,0.378245,34.316199
HAKATI DISP,BUDALANGI,BUNYALA NORTH,BUSIA,TESO NORTH,4,MOH,0.137745,34.011425
IGARA DISP,NAMBALE,WALATSI,BUSIA,TESO NORTH,4,MOH,0.532938,34.363148
KHAYO DISP,NAMBALE,BUKHAYO EAST,BUSIA,TESO NORTH,4,MOH,0.51051,34.388972
MADENDE DISP,NAMBALE,BUKHAYO EAST,BUSIA,TESO NORTH,4,MOH,0.47665,34.346518
MADUWA DISP,BUDALANGI,BUNYALA SOUTH,BUSIA,TESO NORTH,4,MOH,-0.00561,34.0223
MALANGA DISP,BUTULA,ELUGULU,BUSIA,TESO NORTH,4,MOH,0.403823,34.296672
MUNDONGO DISPENSARY,MATAYOS,BUKHAYO WEST,BUSIA,TESO NORTH,4,MOH,0.380793,34.121233
NAMBUKU DISP,FUNYULA,NAMBUKU,BUSIA,TESO NORTH,4,MOH,0.318277,34.110365
NANGINA DISP,FUNYULA,NANGOSIA,BUSIA,TESO NORTH,4,MOH,0.27726,34.098623
RUKALA DISP,BUDALANGI,BUNYALA SOUTH,BUSIA,TESO NORTH,4,MOH,0.056622,33.992112
ELWASAMBI DISP,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,4,MOH,0.288933,34.56794
ESHSHURU DISP,SHINYALU,MURHANDA,KAKAMEGA,SHINYALU,4,MOH,0.27,34.92
EMUHAKA DISP,KHWISERO,WEST KISA,KAKAMEGA,SHINYALU,4,MOH,0.133411,34.4801
ESHINUTSA DISP,KHWISERO,EAST KISA,KAKAMEGA,SHINYALU,4,MOH,0.15045,34.634582
KHAUNGA DISP,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,4,MOH,0.376866,34.584065
LUNGANYIRO DISP,MATUNGU,KOYONZO,KAKAMEGA,SHINYALU,4,MOH,0.432603,34.3924
LUSHEYA DISP,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,4,MOH,0.304527,34.536064
MANGUNGU DISP,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,4,MOH,0.347913,34.576239
MUHAKA DISP,KHWISERO,WEST KISA,KAKAMEGA,SHINYALU,4,MOH,0.128712,34.476095
MUMIAS DISP,MUMIAS,NABONGO,KAKAMEGA,SHINYALU,4,MOH,0.334477,34.48058
MUNGANGA DISP,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,4,MOH,0.3,34.61
SHIKUNGA DISP,BUTERE,TOWNSHIP,KAKAMEGA,SHINYALU,4,MOH,0.21743,34.499125
BUDONGA DISP,NAVAKHOLO,BUNYALA WEST,KAKAMEGA,SHINYALU,4,MOH,0.398045,34.61019
CHOMBELI DISP.,KABRAS,SHIRUGU,KAKAMEGA,SHINYALU,4,MOH,0.456206,34.751505
ESHIKHUYU DISP,LURAMBI,BUTSOTSO SOUTH,KAKAMEGA,SHINYALU,4,MOH,0.264745,34.655744
KIBISH DISP,KIBISH,KIBISH,,,4,MOH,5.387024,35.779489
KAKAMEGA FOREST DISP,SHINYALU,SHIBUYE,KAKAMEGA,SHINYALU,4,MOH,0.235798,34.867553
KHARANDA DISP,NAVAKHOLO,BUNYALA WEST,KAKAMEGA,SHINYALU,4,MOH,0.441685,34.636808
KUVASALI DISP,KABRAS,KABRAS EAST,KAKAMEGA,SHINYALU,4,MOH,0.421058,34.943218
NAMAGARA DISP,KABRAS,SHIVANGA,KAKAMEGA,SHINYALU,4,MOH,0.504234,34.878518
SAVANE DISP,IKOLOMANI,SHIRUMBA,KAKAMEGA,SHINYALU,4,MOH,0.17,34.723815
SHIHOME DISP,KABRAS,KABRAS SOUTH,KAKAMEGA,SHINYALU,4,MOH,0.391383,34.792092
SHIKUSI DISP,SHINYALU,KHAYEGA,KAKAMEGA,SHINYALU,4,MOH,0.203714,34.79913
SHIVANGA DISP,KABRAS,SHIVANGA,KAKAMEGA,SHINYALU,4,MOH,0.532177,34.846428
SINGO DISP,NAVAKHOLO,BUNYALA WEST,KAKAMEGA,SHINYALU,4,MOH,0.365303,34.6269
SIVILIE DISP,NAVAKHOLO,BUNYALA EAST,KAKAMEGA,SHINYALU,4,MOH,0.469585,34.696675
CHEKALINI DISP,LUGARI,CHEKALINI,KAKAMEGA,SHINYALU,4,MOH,0.618574,34.904817
KONGONI DISP,LIKUYANI,KONGONI,KAKAMEGA,SHINYALU,4,MOH,0.780116,35.125255
LUGARI FOREST DISP,LUGARI,LUGARI,KAKAMEGA,SHINYALU,4,MOH,0.663278,34.906928
MUNYUKI DISP,LUGARI,LUMAKANDA,KAKAMEGA,SHINYALU,4,MOH,0.637446,34.942563
SANGO DISP,LIKUYANI,KONGONI,KAKAMEGA,SHINYALU,4,MOH,0.728778,35.072747
SEREGEYA DISP,LIKUYANI,LIKUYANI,KAKAMEGA,SHINYALU,4,MOH,0.681228,35.096568
SOY SAMBU DISP,LIKUYANI,KONGONI,KAKAMEGA,SHINYALU,4,MOH,0.774832,35.084489
TURBO FOREST DISP,LIKUYANI,LIKUYANI,KAKAMEGA,SHINYALU,4,MOH,0.658582,35.060332
TURBO NYS DISP,LIKUYANI,LIKUYANI,KAKAMEGA,SHINYALU,4,MOH,0.641938,35.049697
CHEPKUBE DISP,CHEPTAIS,CHEPKUBE,BUNGOMA,KANDUYI,4,MOH,0.839649,34.4353
CHESIKAKI DISP,CHEPTAIS,CHESIKAK,BUNGOMA,KANDUYI,4,MOH,0.799793,34.5159
KABOYWO DISP,KAPTAMA,CHEMOGE,BUNGOMA,KANDUYI,4,MOH,0.844912,34.762855
KAMUNERU DISP,KAPSOKWONY,KAMUNERU,BUNGOMA,KANDUYI,4,MOH,0.82842,34.640021
KAPKATENY DISP,KOPSIRO,KAPKATENY,BUNGOMA,KANDUYI,4,MOH,0.812513,34.6033
KOPSIRO DISP,KOPSIRO,CHEPYUK,BUNGOMA,KANDUYI,4,MOH,0.824948,34.587068
SACHO DISP,KAPSOKWONY,KAMUNERU,BUNGOMA,KANDUYI,4,MOH,0.804985,34.634813
TULKUT DISP,CHEPTAIS,SASURI,BUNGOMA,KANDUYI,4,MOH,0.815401,34.494183
AKCHELIST GSU CAMP DISP,ANGURAI,KAKAPEL,BUSIA,TESO NORTH,4,MOH,0.684173,34.335414
LUKOLIS DISP,AMUKURA,AREMIT,BUSIA,TESO NORTH,4,MOH,0.602941,34.226504
OBEKAI DISP,AMUKURA,KALIWA,BUSIA,TESO NORTH,4,MOH,0.508603,34.246637
LIKINDU DISP,VIHIGA,MUNGOMA,VIHIGA,HAMISI,4,MOH,0.017027,34.659398
MUSITINYI DISP,EMUHAYA,EAST BUNYORE,VIHIGA,HAMISI,4,MOH,0.056713,34.656238
NANDAYA DISP,SABATIA,CHAVAKALI,VIHIGA,HAMISI,4,MOH,0.1,34.68
SHAMAKHOKHO DISP,TIRIKI EAST,SHAMAKHOKO,VIHIGA,HAMISI,4,MOH,0.11385,34.83064
SHIRU DISP,TIRIKI EAST,SHAVIRINGA,VIHIGA,HAMISI,4,MOH,0.161669,34.911632
KIBERA FP & MATERNITY HOME,KIBERA,KIBERA,NAIROBI,KAMUKUNJI,7,MOH,-1.30566,36.78454
TUMBE TB AND LEPROSY HOSP,MSAMBWENI,MSAMBWENI,KWALE,KINANGO,8,MOH,-4.46664,39.4709
CHEST CLINIC,CENTRAL,STAREHE,NAIROBI,KAMUKUNJI,8,MOH,-1.28894,36.82251
NATIONAL SPINAL INJURY HOSP.,WESTLANDS,KILIMANI,NAIROBI,KAMUKUNJI,8,MOH,-1.28872,36.7833
THE NAIROBI HOSPICE,DAGORETTI,KENYATTA/GOLF COURSE,NAIROBI,KAMUKUNJI,8,MOH,-1.30121,36.80512
REHABILITATION CENTRE  FAMILY LIFE,KAPENGURIA,KAPENGURIA,WEST POKOT,KAPENGURIA,8,MOH,1.26321,35.1322
ALUPE LEPROSY HOSPITAL,CHAKOL,ANGOROM,BUSIA,TESO NORTH,8,MOH,0.48561,34.1218
MWEA GK PRISON DISP GATHIGIRIRI,MWEA,TEBERE,KIRINYAGA,GICHUGU,9,MOH,-0.672314,37.392341
GK PRISON DISP,NDARAGWA,KIRIITA,NYANDARUA,KIPIPIRI,9,MOH,0.032123,36.42123
COFFEE RESEARCH STATION DISP,RUIRU,RUIRU,KIAMBU,GATUNDU NORTH,9,MOH,-1.102321,36.882321
JOY TOWN PRIMARY SCHOOL DISP,MUNICIPALITY,THIKA MUNICIPALITY,KIAMBU,GATUNDU NORTH,9,MOH,-1.032332,37.071234
THIKA SCHOOL FOR THE BLIND DISP,MUNICIPALITY,THIKA MUNICIPALITY,KIAMBU,GATUNDU NORTH,9,MOH,-1.042312,37.093231
DETENTION CAMP DISP,ISLAND,TUDOR,MOMBASA,KISAUNI,9,MOH,-4.03376,39.6682
NYALI BARRACKS M.R.I. DISP,ISLAND,TUDOR,MOMBASA,KISAUNI,9,MOH,-4.03841,39.66118
NYS DISP,ISLAND,RAILWAY,MOMBASA,KISAUNI,9,MOH,-4.0492,39.6539
PORT HEALTH SERVICES,CHANGAMWE,PORT REITZ,MOMBASA,KISAUNI,9,MOH,-4.01305,39.6036
MANYANI PRISON DISP,TSAVO N. PARK,TSAVO N. PARK,TAITA TAVETA,WUNDANYI,9,MOH,-3.095698,38.495506
GK PRISON DISP,CENTRAL,CENTRAL,ISIOLO,ISIOLO NORTH,9,MOH,0.342176,37.570504
ISIOLO BARRACKS DISP,CENTRAL,CENTRAL,ISIOLO,ISIOLO NORTH,9,MOH,0.340206,37.577625
N.Y.S DISP,MUTOMO,IKANGA,KITUI,KITUI EAST,9,MOH,-1.633333,38.016667
NEP GIRLS SEC SCH. DISP,CENTRAL,TOWNSHIP,GARISSA,BALAMBALA,9,MOH,-0.260903,39.8013
MANDERA ARMY CAMP DISP,CENTRAL,BULLA JAMHURIA,MANDERA,MANDERA SOUTH,9,MOH,3.947474,41.845235
DAGORETTI APPROVED SCHOOL DISP,DAGORETTI,UTHIRU/RUTHIMITU,NAIROBI,KAMUKUNJI,9,MOH,-1.264086,36.697883
GITATHURU APPROVED SCHOOL DISP,WESTLANDS,KITISURU,NAIROBI,KAMUKUNJI,9,MOH,-1.23608,36.73088
KABETE APPROVED SCHOOL DISP,WESTLANDS,KITISURU,NAIROBI,KAMUKUNJI,9,MOH,-1.23608,36.73088
KABETE JUVENILE REMAND HOME DISP,WESTLANDS,KITISURU,NAIROBI,KAMUKUNJI,9,MOH,-1.23679,36.73658
KAMITI G.K. PRISON HOSPITAL,KASARANI,KAHAWA,NAIROBI,KAMUKUNJI,9,MOH,-1.17611,36.89343
LANGATA WOMENS PRISONS HEALTH CENTRE,KIBERA,MUGUMOINI,NAIROBI,KAMUKUNJI,9,MOH,-1.31862,36.77503
NAIROBI JUVENILE DISP,KIBERA,LANGATA,NAIROBI,KAMUKUNJI,9,MOH,-1.312203,36.760619
NAIROBI REMAND & ALLOC. DISP,KIBERA,LANGATA,NAIROBI,KAMUKUNJI,9,MOH,-1.31221,36.75112
NAIROBI WEST PRISON HEALTH CENTRE,KIBERA,NAIROBI WEST,NAIROBI,KAMUKUNJI,9,MOH,-1.3112,36.81505
NAS DISP,EMBAKASI,EMBAKASI,NAIROBI,KAMUKUNJI,9,MOH,-1.30212,36.9401
KODIAGA GK PRISON HEALTH CENTRE,WINAM,CENTRAL KISUMU,KISUMU,NYAKACH,9,MOH,-0.058556,34.7095
KIBOS PRISON DISP,MIWANI,OMBEYI,KISUMU,NYAKACH,9,MOH,-0.161658,34.9197
BARTOLIMO SEC SCHOOL DISP,KIPSARAMAN,KAPTEBEREWO,BARINGO,BARINGO CENTRAL,9,MOH,0.686376,35.8192
KABARNET HIGH SCH. DISP,KABARNET,KABARNET MOSOP,BARINGO,BARINGO CENTRAL,9,MOH,0.502247,35.7387
SACHO HIGH SCH. DISP,SACHO,SACHO MOSOP,BARINGO,BARINGO CENTRAL,9,MOH,0.383322,35.7819
BARINGO HIGH SCHOOL DISP,ELDAMA RAVINE,ELDAMA RAVINE,BARINGO,BARINGO CENTRAL,9,MOH,0.05168,35.733737
LAIKIPIA CAMPUS DISP,NYAHURURU,MAINA,LAIKIPIA,LAIKIPIA NORTH,9,MOH,0.032007,36.374279
KAPSABET G K PRISON DISP,KAPSABET,KAPSABET,NANDI,MOSOP,9,MOH,0.2028,35.0954
TINDERET TEA ESTATE DISP,TINDERET,TINDERET,NANDI,MOSOP,9,MOH,-0.071389,35.339213
ELDORET MAINTANANCE SCHOOL DISP,KAPSARET,PIONEER,UASIN GISHU,AINABKOI,9,MOH,0.50321,35.2641
ELDORET PRISON DISP,SOY,KIBULGENY,UASIN GISHU,AINABKOI,9,MOH,0.538332,35.2886
APPROVED SCHOOL DISP,MUNICIPALITY,BUKHUNGU,KAKAMEGA,SHINYALU,9,MOH,0.292924,34.76145
