facilityName,Division,LOCATION,County,Constituency,facilityType,Agency,Lat,Lng
ERAMBA DISP,MARANI,MWAGICHANA,KISII,NYARIBARI CHACHE,4,MOH,-0.546833,34.7801
ISECHA DISP,MARANI,NGENYI,KISII,NYARIBARI CHACHE,4,MOH,-0.571717,34.8628
KEGOGI DISP,MARANI,KEGOGI,KISII,NYARIBARI CHACHE,4,MOH,-0.54225,34.841
KIAMOKOMA DISP,MASABA,NYARIBARI CENTRAL,KISII,NYARIBARI CHACHE,4,MOH,-0.828667,34.8826
MASONGO DISP,SUNEKA,BOMORENDA,KISII,NYARIBARI CHACHE,4,MOH,-0.714917,34.7091
MATONGO DISP,SUNEKA,BOMARIBA,KISII,NYARIBARI CHACHE,4,MOH,-0.6285,34.7202
NYAGUTA DISP,KEUMBU,KIOGORO,KISII,NYARIBARI CHACHE,4,MOH,-0.7401,34.8068
NYAKWANA DISP,KEUMBU,KIOGORO,KISII,NYARIBARI CHACHE,4,MOH,-0.75678,34.807
NYAMAGUNDO DISP,SUNEKA,BOMARIBA,KISII,NYARIBARI CHACHE,4,MOH,-0.6367,34.7013
NYAMASIBI DISP,MASABA,NYARIBARI MASABA,KISII,NYARIBARI CHACHE,4,MOH,-0.8213,34.9552
RAMASHA DISP,MASABA,NYARIBARI IKORONGO,KISII,NYARIBARI CHACHE,4,MOH,-0.893483,34.9731
RANGANGA  DISP,MOSOCHO,ETORA,KISII,NYARIBARI CHACHE,4,MOH,-0.598785,34.7119
SIEKA DISP,MARANI,MWAKIBAGENDI,KISII,NYARIBARI CHACHE,4,MOH,-0.570317,34.7628
SOSERA DISP,MASABA,NYARIBARI IKORONGO,KISII,NYARIBARI CHACHE,4,MOH,-0.85967,34.98721
TARACHA DISP,KEUMBU,KEUMBU,KISII,NYARIBARI CHACHE,4,MOH,-0.756467,34.8565
AMATIERIO DISP,EKERENYO,EKERENYO,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.58084,35.0169
BOSIANGO DISP,NYAMIRA,BOSAMARO MASABA,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.65449,34.9633
ETONO DISP,NYAMIRA,KEERA,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.55875,34.8897
GESIMA DISP,RIGOMA,GESIMA,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.71608,34.9988
GETARE DISP,NYAMIRA,KEERA,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.55072,34.899
IGENA-ITAMBE DISP,NYAMIRA,BOSAMARO CHACHE,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.62972,34.9084
ISOGE DISP,BORABU,NYASIONGO,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.78303,35.0584
ITIMBO DISP,EKERENYO,EKERENYO,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.560811,34.997297
KIJAURI DISP,BORABU,NYASIONGO,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.77567,35.0216
MAGWAGWA DISP,EKERENYO,N. MUG. CHACHE,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.46251,34.9777
MOCHENWA DISP,BORABU,NYASIONGO,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.79843,34.9747
MWONGORI DISP,BORABU,MEKENENE,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.7288,35.037
NYAMAKOROTO DISP,RIGOMA,MOCHENWA,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.697179,34.945104
NYANGENA DISP,NYAMIRA,KEERA,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.57549,34.891
OGANGO DISP,NYAMIRA,KEERA,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.53398,34.8736
OMOSARIA DISP,EKERENYO,N. MUG. CHACHE,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.42753,35.0115
TOMBE DISP,MANGA,CENTRAL KITUTU,NYAMIRA,NORTH MUGIRANGO,4,MOH,-0.65114,34.8656
AKADO DISP,KOMBEWA,S.W. SEME,KISUMU,NYAKACH,4,MOH,-0.141642,34.4409
BODI DISP,KOMBEWA,S.W. SEME,KISUMU,NYAKACH,4,MOH,-0.155489,34.5087
GOT NYABONDO DISP,WINAM,EAST KAJULU,KISUMU,NYAKACH,4,MOH,0.009604,34.810577
HONGO NGOSA DISP,KADIBO,BWANDA,KISUMU,NYAKACH,4,MOH,-0.250225,34.868784
MIRANGA DISP,MASENO,OTWENYA,KISUMU,NYAKACH,4,MOH,-0.059824,34.579
NDURU KADERO DISP,KOMBEWA,S.C. SEME,KISUMU,NYAKACH,4,MOH,-0.076558,34.4409
OGEN DISP,WINAM,S.W KISUMU,KISUMU,NYAKACH,4,MOH,-0.079079,34.656448
RERU DISP,KOMBEWA,WEST SEME,KISUMU,NYAKACH,4,MOH,-0.095945,34.4436
ROTA DISP,MASENO,OTWENYA,KISUMU,NYAKACH,4,MOH,-0.033521,34.5332
SIRIBA DISP,MASENO,N.W. KISUMU,KISUMU,NYAKACH,4,MOH,0.005144,34.6043
CHINATO DISP,KEGONGA,NYABASI WEST,MIGORI,KURIA EAST,4,MOH,-1.2885,34.6137
GETONGOROMA DISP,KEGONGA,NGURUNA,MIGORI,KURIA EAST,4,MOH,-1.29771,34.6558
GWITEMBE DISP,NTIMARU,BWIREGE EAST,MIGORI,KURIA EAST,4,MOH,-1.371042,34.710446
KOMBE DISP,MASABA,KOMBE,MIGORI,KURIA EAST,4,MOH,-1.10582,34.558607
KUGITIMO DISP,KEGONGA,NYABASI NORTH,MIGORI,KURIA EAST,4,MOH,-1.23217,34.678717
